,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
195,173,1126,6098,120000,120000,120000,-2.9065874459261947,-2.30300537989727,-1.672685392349767,0.4462474640745753
196,191,1038,5729,120000,120000,120000,-2.896952274443832,-2.368258186297516,-1.6926464943611936,0.3280318956778845
197,277,1361,6481,120000,120000,120000,-2.7511037403005405,-2.2441921063158703,-1.6372579876224274,0.4640023231913294
198,198,1287,6779,120000,120000,120000,-2.8406787711692374,-2.2838202875488816,-1.6374036049585483,0.4543319792576269
199,254,1451,7097,120000,120000,120000,-2.896404426129896,-2.318829477038456,-1.6983005144193897,0.4302861785130575
200,224,1257,6602,120000,120000,120000,-2.828335526140693,-2.270554449820785,-1.6370896236186592,0.4676826793569182
201,169,952,5381,120000,120000,120000,-2.8164354841382213,-2.2998689391330522,-1.6588686394297418,0.44341436667430056
202,192,1118,5901,120000,120000,120000,-2.856199061172944,-2.3049335074273607,-1.6818948199911263,0.4507854953654854
203,371,2000,8920,120000,120000,120000,-2.8311751557210494,-2.2965042781679115,-1.6765830132239132,0.4437655308431867
204,385,2102,9551,120000,120000,120000,-2.819665728246423,-2.2710051091925347,-1.6325231659580184,0.45251415987835575
205,270,1465,7274,120000,120000,120000,-2.846457006043096,-2.3117888481513216,-1.6746865575046204,0.4454178062807028
206,199,1176,6398,120000,120000,120000,-2.8418824786136425,-2.2887995788170663,-1.6672492089385216,0.4508890728571237
207,292,1491,6988,120000,120000,120000,-2.868131134791244,-2.326600663527591,-1.6871201201515547,0.31731776325074734
208,156,1013,5988,120000,120000,120000,-2.8718361015012457,-2.2976007613649276,-1.6305823813643578,0.44303751136823655
209,231,1234,6256,120000,120000,120000,-2.7842752131057202,-2.3073030133772128,-1.6665789780634515,0.4415964624630957
210,189,1126,5884,120000,120000,120000,-2.8377857939938838,-2.2905955102280533,-1.6831708085775718,0.4591975961496345
211,140,1024,5690,120000,120000,120000,-2.9131816842171654,-2.3096411718702825,-1.6547420358714917,0.40052594596811386
212,481,2160,8744,120000,120000,120000,-2.7303463729605983,-2.254754877841948,-1.6876208610504086,0.45311995672748256
213,205,1119,5691,120000,120000,120000,-2.8256466028559015,-2.3180297158557903,-1.7037400977744586,0.4340858921498999
214,273,1558,7606,120000,120000,120000,-2.8380137795108995,-2.296629917165504,-1.6521008840236973,0.450736256981053
215,160,1058,5987,120000,120000,120000,-3.036759057202003,-2.4293856622501977,-1.725958718315045,0.2590777223537698
216,376,1900,8525,120000,120000,120000,-2.805360293604632,-2.3014738587421855,-1.6984670184350117,0.4425848399489749
217,177,1030,5819,120000,120000,120000,-2.9799863710582892,-2.40934806441489,-1.7028431905935266,0.2227421630597723
218,271,1478,7549,120000,120000,120000,-2.8520844148090765,-2.3034236158546957,-1.6560840930837957,0.4477465590985773
219,333,1694,8326,120000,120000,120000,-2.8777692221760276,-2.349559117315975,-1.7084510192992117,0.431932251666479
220,117,778,4943,120000,120000,120000,-3.0977441538082395,-2.4846932862407902,-1.7370382268271114,-7.1906606218633746e-06
221,192,1166,6166,120000,120000,120000,-2.888386029966669,-2.321512442744267,-1.6886009467118495,0.43365204062931223
222,103,916,4980,120000,120000,120000,-3.0073906943010904,-2.3449207347598735,-1.6980140032094775,0.35677906312430785
223,114,891,5444,120000,120000,120000,-2.9005272253730636,-2.2885991266464556,-1.6055477020982727,0.44821948436478665
224,179,1208,6138,120000,120000,120000,-2.8398164341901864,-2.2815596808175647,-1.6655298657239523,0.45256985665726573
225,211,1117,6094,120000,120000,120000,-2.868942434150922,-2.320696813396536,-1.675464013192867,0.4379532515801253
226,252,1259,6664,120000,120000,120000,-2.7974766467647525,-2.2609910059338443,-1.6360966057860802,0.4563805674412076
227,218,1330,7116,120000,120000,120000,-2.9296383644740587,-2.3348057918376273,-1.684426934080993,0.42882742234289706
228,177,1065,5756,120000,120000,120000,-2.9729481197602086,-2.3707704978848616,-1.6648771498132584,3.1283081208574082e-06
229,336,1583,7062,120000,120000,120000,-2.76633013554566,-2.273709999305937,-1.6854217847537205,0.4441672253777451
230,321,1841,8816,120000,120000,120000,-2.90732953182582,-2.3139184498202834,-1.674207323299784,0.43757162240368686
231,249,1499,7710,120000,120000,120000,-2.8149381776460523,-2.299776020379677,-1.64958596629792,0.45767179851390205
232,96,757,4740,120000,120000,120000,-2.890399803026705,-2.3011167065147324,-1.6439740839591552,0.4547105101265749
