,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
195,162,1014,5760,120000,120000,120000,-2.863680658939947,-2.308688181795345,-1.6477526139381793,0.4056464466356997
196,270,1566,7728,120000,120000,120000,-2.826945099720473,-2.283651801441409,-1.6488204130875634,0.4544146104974305
197,337,1937,9239,120000,120000,120000,-2.8769941398460324,-2.302514236870807,-1.654026422953978,0.4536507326791663
198,231,1275,6088,120000,120000,120000,-2.8279857755050744,-2.2613981567563526,-1.6830862060288414,0.4495589332927504
199,105,653,4091,120000,120000,120000,-2.79666820566692,-2.273427752532019,-1.6261331257425375,0.4455317340729118
200,183,1181,6169,120000,120000,120000,-2.893126555632419,-2.3283281763391352,-1.6794293834062373,0.436929148278442
201,339,1768,8413,120000,120000,120000,-2.8905911091433376,-2.327597292352803,-1.7015380075491722,0.43230727975368044
202,165,1195,6391,120000,120000,120000,-2.9112646462197143,-2.3024226990781456,-1.647591094667015,0.44852116678758797
203,196,1168,6255,120000,120000,120000,-2.812130068059144,-2.2998650896068003,-1.6744135737816646,0.4439399883769519
204,143,846,5048,120000,120000,120000,-3.0377987788432996,-2.454716448317657,-1.727188291815662,3.461249688345182e-06
205,273,1477,7351,120000,120000,120000,-2.855028277410599,-2.289051456932663,-1.674848587118521,0.45219985370227794
206,193,1212,6169,120000,120000,120000,-2.860864025826474,-2.28133204733344,-1.6847001074659715,0.4438422484874274
207,137,987,5541,120000,120000,120000,-2.9015372340964127,-2.3107827419544584,-1.6599969026572234,0.4156330378781949
208,400,1927,8406,120000,120000,120000,-2.7956556376917012,-2.2975828513627112,-1.7064919452905367,0.44211640789200524
209,202,1054,6023,120000,120000,120000,-2.8202500332253644,-2.3287573828314114,-1.6929383151859976,0.439102181973559
210,239,1381,7226,120000,120000,120000,-2.879453746675302,-2.2731442987901898,-1.5529341164201325,-3.448291782484362e-06
211,241,1501,7306,120000,120000,120000,-2.8630001427012743,-2.3023932025684295,-1.6786605553147491,0.4396049354937754
212,249,1596,8080,120000,120000,120000,-2.8872546702985007,-2.271376837532677,-1.626546203216812,0.45185337901139755
213,204,1110,5812,120000,120000,120000,-2.8433826681936534,-2.3009896901006144,-1.696270585801236,0.4470445728077064
214,151,956,5271,120000,120000,120000,-2.8481421234463404,-2.303579783341797,-1.675883701520184,0.4523311130484582
215,143,900,5535,120000,120000,120000,-2.845846352783888,-2.3060235218731644,-1.6393944498783246,0.4568795893128171
216,172,1082,5969,120000,120000,120000,-2.9489572433502733,-2.3362528958741917,-1.693460975922708,0.4224771778042882
217,290,1460,6987,120000,120000,120000,-2.893503573258619,-2.3463998939332082,-1.693934877493911,0.27341076970431544
218,291,1676,8241,120000,120000,120000,-2.804429215841695,-2.2620749349369564,-1.6158539415815274,0.4724986848977213
219,188,1160,6078,120000,120000,120000,-2.841121651779728,-2.3059131955679275,-1.674221736925431,0.4380521891412757
220,300,1731,8496,120000,120000,120000,-2.8961982625494613,-2.3209449815599204,-1.695640077500066,0.4372202094407499
221,192,1201,6582,120000,120000,120000,-2.8655226722051372,-2.28097426618951,-1.6319298152493542,0.46258143901801396
222,136,999,5516,120000,120000,120000,-2.8764281225120074,-2.285315611131751,-1.649622073517519,0.4413771065325738
223,160,996,5454,120000,120000,120000,-3.007179648237246,-2.4176189629413978,-1.732170502203208,0.23924952050079998
224,108,889,5250,120000,120000,120000,-2.9134350685450916,-2.289283461272939,-1.6177146803463358,0.4493367790919348
225,213,1210,6226,120000,120000,120000,-2.830703463125145,-2.282169983995261,-1.6805459925185957,0.4457233107455593
226,251,1420,7211,120000,120000,120000,-2.939421668131671,-2.3595561297937344,-1.6753150613637238,0.2597062754581679
227,174,1072,6035,120000,120000,120000,-2.8526725180479944,-2.3008095865749407,-1.678593520604664,0.4614605597885575
228,266,1453,6986,120000,120000,120000,-2.919313589814095,-2.3508769276926604,-1.6947421015484707,0.2808212230084795
229,253,1365,6835,120000,120000,120000,-2.8967709866032756,-2.3290610044888753,-1.7131780278259465,0.4315957255892955
230,252,1551,7189,120000,120000,120000,-2.867292498408303,-2.273764987334668,-1.679306832761552,0.4578699118718343
231,158,999,5852,120000,120000,120000,-2.8535877241297696,-2.2898367837777,-1.62847265352271,0.45889701968059654
232,206,1225,6452,120000,120000,120000,-2.859080513479697,-2.2948417752968013,-1.6633159895126632,0.4472030065985969
233,149,881,4886,120000,120000,120000,-3.0253939582853744,-2.440078361116721,-1.7424397180048317,4.434182497104788e-06
234,288,1475,7176,120000,120000,120000,-2.8285867103591396,-2.305276962213406,-1.684240072885507,0.4441683799006349
235,244,1631,7649,120000,120000,120000,-2.875218650678115,-2.2738671285955974,-1.6525981780190704,0.42199030039936614
236,283,1557,7439,120000,120000,120000,-2.8026735858679785,-2.269507345061035,-1.6690584497926877,0.45543365281246156
237,210,1488,7739,120000,120000,120000,-2.8956542770872873,-2.2929175996761137,-1.644371247787987,0.4511670796796917
238,282,1509,7012,120000,120000,120000,-2.8186991445344107,-2.289632702993586,-1.687742416505968,0.43994316170311065
239,185,1095,6142,120000,120000,120000,-2.846660306007306,-2.3132993932980543,-1.6736602685554172,0.4401067806696635
240,206,1314,6517,120000,120000,120000,-2.84997276958345,-2.273170773925295,-1.6483362614320236,0.4577636805702141
241,160,1083,5828,120000,120000,120000,-2.8715632616052567,-2.255627060076038,-1.6307052388679733,0.443110196390493
242,266,1665,7911,120000,120000,120000,-2.8644115757225586,-2.262991034260429,-1.6362835221551637,0.45494747719365664
243,165,1008,5631,120000,120000,120000,-2.8116304287419096,-2.274912897150007,-1.6361435708359675,0.45014801307215246
