w_0,gamma_0,gamma_1,gamma_2
0.4105160024521432,-3.0798569229904476,-2.3490382345694636,-1.6761064216078614
0.4228928165855105,-2.9449412786669633,-2.3089964076532183,-1.6158218367021324
0.46724860771489934,-2.9489800620197455,-2.336003863188696,-1.6152278749405093
0.42868774674114757,-3.064986335500743,-2.4343987237340445,-1.7336302646037143
0.46072089552661144,-2.954376565393404,-2.2990664870076256,-1.649693104248133
0.4435146395973668,-2.8765849002180643,-2.25652516150138,-1.609280931234701
0.48525593479711615,-2.989325219914629,-2.3404020784472523,-1.6512418281532266
0.443069109153514,-2.950846508557874,-2.3893235577266623,-1.692428526022331
0.4338160449417206,-2.8872858446084315,-2.275683460378118,-1.6024434622027264
0.45906759986717904,-2.899335239012244,-2.291526592306749,-1.602152496312853
0.43860699597998887,-3.0905071303850757,-2.4310689548678304,-1.7100687114404147
0.4509842757486749,-2.934292434331566,-2.312531316095169,-1.6373117646011977
0.46496056124265006,-2.875395501136549,-2.2699972474456955,-1.5804301143791983
0.4532886085311152,-2.965434054949773,-2.3277599969179708,-1.6656073515310377
0.4554408105017799,-2.9538182735387446,-2.269699934573134,-1.6156945784753918
0.4839362122904763,-2.842615990782454,-2.2411010272147185,-1.5535209802675098
0.4429696307137762,-2.9627380180258625,-2.3422815984438565,-1.6519071534042429
0.4319404025560208,-3.0094289234396383,-2.356679351772715,-1.6784821057412194
0.4343951691699946,-3.0416640434978333,-2.380469106389637,-1.7086467907723608
0.4357134831852153,-2.963273959169181,-2.3644817396880047,-1.648969574580743
0.4647974908976224,-2.966433207145465,-2.3140424301797355,-1.6392023690078423
0.4371781987344164,-3.026014346967298,-2.329035468035416,-1.6835113401849977
0.45331616792829,-3.029035513787586,-2.3609932829685563,-1.6948157227622525
0.4370533725558535,-2.936377765445153,-2.251539387053481,-1.5898940168460327
0.4675681305020935,-2.993519224301625,-2.337515443022566,-1.6197756012194933
0.4493033054330325,-2.917385834234714,-2.34447880423424,-1.669752948694786
0.4859208416607675,-2.845960526203205,-2.206821748415265,-1.5756321332608465
0.4697093292571284,-2.839996413567309,-2.1983109440111392,-1.5442090987816182
0.4783481042843088,-2.89388920935247,-2.23263704414568,-1.565212513067704
0.4734161254344874,-2.953562032462494,-2.334129942403645,-1.6107462187507495
