,w_0,w_1,w_2,gamma_0,gamma_1,gamma_2
67,0.4898451994066873,0.4854940000335705,0.3861352587347808,-2.9965163116191538,-2.2637397474613103,-1.626952331953194
68,0.3551929671865926,0.493884587459405,0.4993185433757682,-3.052984191470706,-2.279450898054568,-1.5836912213190388
69,0.4863676176080327,0.4773692124636531,0.4816915354594979,-3.0898368731061203,-2.3657103074342376,-1.584393737654605
70,0.4844337779629688,0.4411904066860419,0.416956861102498,-2.7650420389976,-2.1938782863914947,-1.5928100152615454
71,0.3726141304153864,0.4001371040245424,0.3929287390433067,-2.963772255574113,-2.3983064559522864,-1.6412657938110788
72,0.4665836501111535,0.4136968015615753,0.3882999071807805,-2.850998009077541,-2.278799238325106,-1.5655299167066556
73,0.3652500695925714,0.4316554665207768,0.4483638092399377,-2.906127409411988,-2.1740786253009343,-1.5175930318502124
74,0.3374238210195779,0.4647391096516118,0.4104533944947046,-3.0222483774601407,-2.4124237834614566,-1.6718954443475251
75,0.8639989499976346,0.4692740465615379,0.4139041046083319,-2.6299607203463777,-2.635697717655108,-1.85189977566926
76,0.6625383404406122,0.5379037393939177,0.5607324364740943,-2.796492920368005,-2.324200055039221,-1.578653677836752
77,0.3107070792490306,0.2770122785944908,0.2962735928665922,-3.3535683492858155,-2.461797791822617,-1.9643974572385368
78,0.5018389006759361,0.5135315555801226,0.4594411562114627,-2.762794608903506,-2.042870455077509,-1.5199709875516096
79,0.3349162651219772,0.2559184324313426,0.2999134997693639,-3.3503393563651382,-2.63003271066262,-1.7251923927715238
80,0.4815192054130205,0.468096896810165,0.4947468372341887,-3.0808559171899588,-2.183650426357333,-1.529031480163869
